Tno,From,To
12831,Dhanbad Junction,Bhubaneswar
12892,Bhubaneswar,Bangriposi
18437,Bhubaneswar,Nilaje
12830,Bhubaneswar,Chennai Central
1020,Bhubaneswar,Mumbai Cst
12281,Bhubaneswar,New Delhi
12282,New Delhi,Bhubaneswar
12894,Balangir,Bhubaneswar
12074,Bhubaneswar,Howrah Junction
12073,Howrah Junction,Bhubaneswar
12880,Bhubaneswar,Lokmanyatilak T
2815,Bhubaneswar,New Delhi
22805,Bhubaneswar,New Delhi
12898,Bhubaneswar,Puducherry
8449,Bhubaneswar,Patna Junction
12582,Bhubaneswar,Pune Junction
22882,Bhubaneswar,Pune Junction
2882,Bhubaneswar,Pune Junction
22811,Bhubaneswar,New Delhi
22823,Bhubaneswar,New Delhi
18496,Bhubaneswar,Rameswaram
18106,Bhubaneswar,Rourkela
22871,Bhubaneswar,Tirupati
22879,Bhubaneswar,Tirupati
2845,Bhubaneswar,Yesvantpur Junction
12845,Bhubaneswar,Yesvantpur Junction
9017,Mumbai Central,Ahmedabad Junction
9007,Mumbai Central,Bikaner Junction
12932,Ahmedabad Junction,Mumbai Central
22210,New Delhi,Mumbai Central
12268,Ahmedabad Junction,Mumbai Central
12955,Mumbai Central,Jaipur
4093,Mumbai Central,New Delhi
9003,Mumbai Central,New Delhi
14209,Vindhyachal,Lucknow Nr
2904,Bhuj,Bandra Terminus
22904,Bhuj,Bandra Terminus
9027,Bandra Terminus,Ahmedabad Junction
9642,Bandra Terminus,Ajmer Junction
12995,Bandra Terminus,Ajmer Junction
9620,Bandra Terminus,Ajmer Junction
19065,Bandra Terminus,Bhagat Ki Kothi
19115,Bandra Terminus,Bhuj
9023,Bandra Terminus,Bikaner Junction
22474,Bandra Terminus,Bikaner Junction
19203,Bandra Terminus,Bhavnagar Trmus
9231,Bandra Terminus,Bhavnagar Trmus
19029,Bandra Terminus,Delhi S Rohilla
12910,H Nizamuddin,Bandra Terminus
5034,Bandra Terminus,Gorakhpur Junction
2534,Bandra Terminus,Gorakhpur Junction
1654,Bandra Terminus,Habibganj
22915,Bandra Terminus,Hisar
2915,Bandra Terminus,Hisar
9301,Bandra Terminus,Indore Junction Bg
9029,Bandra Terminus,Indore Junction Bg
11104,Bandra Terminus,Jhansi Junction
22933,Bandra Terminus,Jaipur
9732,Bandra Terminus,Jaipur
9033,Bandra Terminus,Jaipur
19063,Bandra Terminus,Jaisalmer
9063,Bandra Terminus,Jaisalmer
22931,Bandra Terminus,Jaisalmer
9045,Bandra Terminus,Jaisalmer
9019,Bandra Terminus,Jodhpur Junction
22444,Bandra Terminus,Kanpur Central
19021,Bandra Terminus,Lucknow Ne
9009,Bandra Terminus,Madgaon
12247,Bandra Terminus,H Nizamuddin
9561,Bandra Terminus,Okha
19049,Bandra Terminus,Patna Junction
22935,Bandra Terminus,Mumbai Cst
9011,Bandra Terminus,Patna Junction
9061,Bandra Terminus,Ramnagar
12907,Bandra Terminus,H Nizamuddin
12935,Bandra Terminus,Surat
14321,Bareilly,Bhuj
14236,Bareilly,Varanasi Junction
54077,Bareilly,Delhi
14320,Bareilly,Indore Junction Bg
4314,Bareilly,Kota Junction
14308,Bareilly,Prayag
14314,Bareilly,Lokmanyatilak T
4918,Beas,Saharanpur
12238,Jammu Tawi,Varanasi Junction
12237,Varanasi Junction,Jammu Tawi
18203,Durg,Kanpur Central
18204,Kanpur Central,Durg
14803,Bhagat Ki Kothi,Ahmedabad Junction
4803,Bhagat Ki Kothi,Ahmedabad Junction
9054,Jodhpur Junction,Valsad
19066,Bhagat Ki Kothi,Bandra Terminus
18244,Bhagat Ki Kothi,Bilaspur Junction
8244,Bhagat Ki Kothi,Bilaspur Junction
15623,Bhagat Ki Kothi,Kamakhya
5623,Bhagat Ki Kothi,Kamakhya
16863,Bhagat Ki Kothi,Mannargudi
16533,Bhagat Ki Kothi,Bangalore Cy Junction
16507,Bhagat Ki Kothi,Bangalore Cy Junction
18574,Bhagat Ki Kothi,Vishakapatnam
11089,Bhagat Ki Kothi,Pune Junction
7327,Belgaum,Hubli Junction
22405,Bhagalpur,Anand Vihar Trm
13423,Bhagalpur,Ajmer Junction
3453,Bhagalpur,Gorakhpur Junction
12335,Bhagalpur,Lokmanyatilak T
13410,Jamalpur Junction,Malda Town
12349,Bhagalpur,New Delhi
3435,Bhagalpur,Patna Junction
18604,Bhagalpur,Ranchi
19048,Bhagalpur,Surat
8104,Bhagalpur,Tatanagar Junction
12891,Bangriposi,Bhubaneswar
12336,Lokmanyatilak T,Bhagalpur
13104,Lalgola,Sealdah
13103,Sealdah,Lalgola
17233,Secunderabad Junction,Balharshah
17234,Balharshah,Secunderabad Junction
12971,Bandra Terminus,Bhavnagar Trmus
59208,Okha,Bhavnagar Trmus
59828,Etawah,Bhind
12155,Habibganj,H Nizamuddin
12156,H Nizamuddin,Habibganj
59389,Indore Junction Bg,Bhopal Junction
12002,New Delhi,Habibganj
13015,Howrah Junction,Bolpur S Niktn
12846,Yesvantpur Junction,Bhubaneswar
18495,Rameswaram,Bhubaneswar
12829,Chennai Central,Bhubaneswar
22903,Bandra Terminus,Bhuj
19116,Bhuj,Bandra Terminus
9024,Bhuj,Bandra Terminus
9458,Bhuj,Vadodara Junction
12960,Bhuj,Dadar
11091,Bhuj,Pune Junction
22829,Bhuj,Shalimar
59013,Surat,Bhusaval Junction
59075,Surat,Bhusaval Junction
59077,Surat,Bhusaval Junction
17009,Bidar,Hyderabad Decan
11076,Bidar,Lokmanyatilak T
16572,Bidar,Yesvantpur Junction
12565,Darbhanga Junction,New Delhi
12566,New Delhi,Darbhanga Junction
6535,Yesvantpur Junction,Bijapur
22476,Coimbatore Junction,Bikaner Junction
6013,Chennai Egmore,Bikaner Junction
16312,Kochuveli,Bikaner Junction
18235,Bhopal Junction,Chirmiri
12852,Chennai Central,Bilaspur Junction
12442,New Delhi,Bilaspur Junction
21126,Bhind,Indore Junction Bg
59822,Bhind,Kota Junction
51030,Bijapur,Mumbai Cst
5285,Barauni Junction,Ajmer Junction
15231,Barauni Junction,Gondia Junction
11123,Barauni Junction,Gwalior
15203,Barauni Junction,Lucknow Ne
5231,Barauni Junction,Muzaffarpur Junction
4021,Barauni Junction,New Delhi
4701,Bikaner Junction,Udhna Junction
22631,Chennai Central,Bikaner Junction
22473,Bikaner Junction,Bandra Terminus
9008,Bikaner Junction,Bandra Terminus
4737,Bikaner Junction,Valsad
18246,Bikaner Junction,Bilaspur Junction
8246,Bikaner Junction,Bilaspur Junction
22475,Bikaner Junction,Coimbatore Junction
12489,Bikaner Junction,Dadar
12458,Bikaner Junction,Delhi S Rohilla
12456,Bikaner Junction,Delhi S Rohilla
25631,Bikaner Junction,Guwahati
4735,Bikaner Junction,Haridwar Junction
22308,Bikaner Junction,Howrah Junction
22472,Delhi S Rohilla,Bikaner Junction
12467,Bikaner Junction,Jaipur
14702,Bikaner Junction,Jaisalmer
16311,Bikaner Junction,Kochuveli
12495,Bikaner Junction,Kolkata
22632,Bikaner Junction,Chennai Central
6014,Bikaner Junction,Chennai Egmore
17624,Bikaner Junction,Nanded
7038,Bikaner Junction,Nanded
4739,Bikaner Junction,Puri
14709,Bikaner Junction,Puri
4741,Bikaner Junction,Ratangarh Junction
17038,Bikaner Junction,Secunderabad Junction
4732,Bikaner Junction,Shri Ganganagar
16588,Bikaner Junction,Yesvantpur Junction
2692,Bikaner Junction,Yesvantpur Junction
6588,Bikaner Junction,Yesvantpur Junction
58014,Bokaro Stl City,Howrah Junction
9053,Valsad,Jodhpur Junction
22909,Valsad,Puri
12583,Valsad,Puri
4738,Valsad,Bikaner Junction
12911,Valsad,Haridwar Junction
19055,Valsad,Jodhpur Junction
19052,Muzaffarpur Junction,Valsad
9057,Valsad,Vadodara Junction
22387,Howrah Junction,Dhanbad Junction
22388,Dhanbad Junction,Howrah Junction
12893,Bhubaneswar,Balangir
13064,Balurghat,Howrah Junction
13162,Balurghat,Kolkata
4973,Barmer,Bhatinda Junction
15631,Barmer,Guwahati
24888,Barmer,Haridwar Junction
14806,Barmer,Yesvantpur Junction
2509,Bangalore Cant,Kamakhya
2353,Patna Junction,Bangalore Cant
2659,Bangalore Cant,Trivandrum Cntl
2657,Bangalore Cant,Trivandrum Cntl
4724,Bhiwani,Kanpur Central
3174,Barhni,Sealdah
57129,Bijapur,Bolarum
13137,Kolkata,Azamgarh
13118,Lalgola,Kolkata
22186,Indore Junction Bg,Bhopal Junction
13026,Bhopal Junction,Howrah Junction
59390,Bhopal Junction,Indore Junction Bg
12198,Gwalior,Bhopal Junction
19712,Bhopal Junction,Jaipur
54811,Bhopal Junction,Jodhpur Junction
7620,Bhopal Junction,Kurnool Town
1683,Bhopal Junction,Lucknow Ne
12183,Bhopal Junction,Partapgarh Junction
2183,Bhopal Junction,Rewa
59320,Bhopal Junction,Ujjain Junction
51196,Balharshah,Mumbai Cst
14056,Delhi,Dibrugarh
14055,Dibrugarh,Delhi
19129,Vadodara Junction,Ahmedabad Junction
9457,Vadodara Junction,Bhuj
9058,Vadodara Junction,Valsad
12639,Chennai Central,Bangalore Cy Junction
12640,Bangalore Cy Junction,Chennai Central
51452,Baramati,Pune Junction
19408,Varanasi Junction,Ahmedabad Junction
22407,Varanasi Junction,Anand Vihar Trm
14235,Varanasi Junction,Bareilly
4911,Varanasi Junction,Chandigarh
4505,Varanasi Junction,Chandigarh
4503,Varanasi Junction,Chandigarh
1030,Varanasi Junction,Mumbai Cst
1028,Varanasi Junction,Mumbai Cst
14265,Varanasi Junction,Ramnagar
4931,Varanasi Junction,Delhi
4203,Varanasi Junction,Delhi
4205,Varanasi Junction,Delhi
22408,Anand Vihar Trm,Varanasi Junction
14213,Varanasi Junction,Gonda Junction
5652,Varanasi Junction,Guwahati
13346,Singrauli,Varanasi Junction
21108,Varanasi Junction,Khajuraho
14219,Varanasi Junction,Lucknow Nr
14203,Varanasi Junction,Lucknow Nr
2070,Varanasi Junction,Lokmanyatilak T
1056,Varanasi Junction,Lokmanyatilak T
12168,Varanasi Junction,Lokmanyatilak T
12166,Varanasi Junction,Lokmanyatilak T
16230,Varanasi Junction,Mysore Junction
2682,Varanasi Junction,Mysore Junction
6230,Varanasi Junction,Mysore Junction
4433,Varanasi Junction,New Delhi
19570,Varanasi Junction,Okha
2069,Lokmanyatilak T,Varanasi Junction
14260,Varanasi Junction,Rameswaram
18612,Varanasi Junction,Ranchi
18312,Varanasi Junction,Sambalpur
13134,Varanasi Junction,Sealdah
1075,Mumbai Cst,Varanasi Junction
19058,Varanasi Junction,Udhna Junction
22111,Bhusaval Junction,Nagpur
11025,Bhusaval Junction,Pune Junction
59076,Bhusaval Junction,Mumbai Central
18243,Bilaspur Junction,Bhagat Ki Kothi
8243,Bilaspur Junction,Bhagat Ki Kothi
18245,Bilaspur Junction,Bikaner Junction
8245,Bilaspur Junction,Bikaner Junction
18236,Bilaspur Junction,Bhopal Junction
58219,Bilaspur Junction,Chirmiri
22815,Bilaspur Junction,Eranakulam Junction
22940,Bilaspur Junction,Hapa
9536,Bilaspur Junction,Hapa
12856,Nagpur,Bilaspur Junction
1754,Bilaspur Junction,Jabalpur
1756,Bilaspur Junction,Jabalpur
12851,Bilaspur Junction,Chennai Central
12441,Bilaspur Junction,New Delhi
22843,Bilaspur Junction,Patna Junction
12849,Bilaspur Junction,Pune Junction
58229,Bilaspur Junction,Rewa
58114,Bilaspur Junction,Tatanagar Junction
22619,Bilaspur Junction,Tirunelveli
17481,Bilaspur Junction,Tirupati
117,Vasai Road,Ratnagiri
58871,Balaghat Junction,Jabalpur
58865,Balaghat Junction,Jabalpur
4974,Bhatinda Junction,Barmer
14501,Bhatinda Junction,Jammu Tawi
19225,Bhatinda Junction,Jammu Tawi
54701,Bhatinda Junction,Lalgarh Junction
12048,Bhatinda Junction,New Delhi
22812,New Delhi,Bhubaneswar
22824,New Delhi,Bhubaneswar
15109,Rajgir,Varanasi Junction
14223,Rajgir,Varanasi Junction
15110,Varanasi Junction,Rajgir
14224,Varanasi Junction,Rajgir
13106,Ballia,Sealdah
11107,Gwalior,Varanasi Junction
11108,Varanasi Junction,Gwalior
12941,Bhavnagar Trmus,Asansol Junction
12972,Bhavnagar Trmus,Bandra Terminus
19204,Bhavnagar Trmus,Bandra Terminus
9232,Bhavnagar Trmus,Bandra Terminus
59272,Bhavnagar Trmus,Delhi S Rohilla
17203,Bhavnagar Trmus,Kakinada Town
19260,Bhavnagar Trmus,Kochuveli
59207,Bhavnagar Trmus,Okha
59230,Bhavnagar Trmus,Surat
18438,Nilaje,Bhubaneswar
59806,Bayana Junction,Phulera Junction
2714,Vijayawada Junction,Ahmedabad Junction
56504,Vijayawada Junction,Bangalore Cant
12796,Secunderabad Junction,Vijayawada Junction
7213,Vijayawada Junction,Kollam Junction
7219,Vijayawada Junction,Kollam Junction
7207,Vijayawada Junction,Secunderabad Junction
7209,Vijayawada Junction,Secunderabad Junction
17208,Vijayawada Junction,Sainagar Shirdi
12823,Durg,H Nizamuddin
16313,Eranakulam Junction,Kannur
16305,Eranakulam Junction,Kannur
16307,Alleppey,Kannur
12666,Kanyakumari,Howrah Junction
16382,Kanyakumari,Mumbai Cst
22622,Kanyakumari,Rameswaram
12790,Kanyakumari,Rameswaram
13246,Danapur,New Jalpaiguri
13245,New Jalpaiguri,Danapur
12969,Coimbatore Junction,Jaipur
6626,Coimbatore Junction,Chennai Central
604,Coimbatore Junction,Chennai Central
606,Coimbatore Junction,Chennai Central
6610,Coimbatore Junction,Chennai Central
16612,Coimbatore Junction,Tuticorin
7239,Kakinada Town,Allahabad Junction
7201,Kakinada Town,Secunderabad Junction
2775,Kakinada Town,Secunderabad Junction
17206,Kakinada Town,Sainagar Shirdi
17204,Kakinada Town,Bhavnagar Trmus
7338,Kakinada Town,Kacheguda
7211,Kakinada Town,Kollam Junction
2737,Kakinada Town,Secunderabad Junction
19308,Chandigarh,Indore Junction Bg
13256,Chandigarh,Danapur
12984,Chandigarh,Ajmer Junction
2411,Chandigarh,Amritsar Junction
12241,Chandigarh,Amritsar Junction
22452,Chandigarh,Bandra Terminus
4912,Chandigarh,Varanasi Junction
4504,Chandigarh,Varanasi Junction
5904,Chandigarh,Dibrugarh
15904,Chandigarh,Dibrugarh
9304,Chandigarh,Indore Junction Bg
19718,Chandigarh,Jaipur
4502,Nangal Dam,Lucknow Nr
